YEAR,INCUBATORS,ALL INDUSTRIES,"AGRICULTURE, FORESTRY, FISHING, & HUNTING (11)","MINING, QUARRYING, & OIL AND GAS EXTRACTION (21)",UTILITIES (22),CONSTRUCTION (23),MANUFACTURING (31-33),FOOD,BEVERAGE & TOBACCO,TEXTILE MILLS,TEXTILE PRODUCT MILLS,APPAREL,LEATHER & ALLIED PRODUCTS,WOOD PRODUCTS,PAPER,PRINTING & RELATED SUPPORT,PETROLEUM & COAL PRODUCTS,CHEMICAL,PLASTICS & RUBBER PRODUCTS,NONMETALLIC MINERAL PRODUCTS,PRIMARY METAL PRODUCTS,FABRICATED METAL PRODUCTS,MACHINERY,COMPUTER & ELECTRONIC PDTS.,"ELECTRICAL EQUIP., APPLIANCES, & COMP.",TRANSPORTATION EQUIPMENT,FURNITURE & RELATED PRODUCTS,MISCELLANEOUS MANUFACTURING,WHOLESALE TRADE (42),RETAIL TRADE (44-45),TRANSPORTATION & WAREHOUSING (48-49),INFORMATION (51),FINANCE & INSURANCE (52),REAL ESTATE & RENTAL & LEASING (53),"PROFESSIONAL, SCIENTIFIC & TECH. SVCS. (54)",MNGMT. OF COMPANIES & ENTERPRISES (55),ADMIN. & SUP. & WASTE MGMT. & REMED. SVCS. (56),EDUCATIONAL SERVICES (61),HEALTH CARE & SOCIAL ASSISTANCE (62),"ARTS, ENTERTAINMENT & RECREATION (71)",ACCOMMODATIONS & FOOD SERVICES (72),OTHER SERVICES (except PUBLIC ADMIN.) (81),UNCLASSIFIED (99)
12/31/15 0:00,16,2187525,472,407,4310,64546,186211,30845,2566,279,1686,2361,413,1148,9282,11472,1579,10987,9229,3670,6711,31410,15069,9862,11106,11689,4603,10244,101905,234887,117064,54075,145700,41263,216434,44151,194592,90032,340874,35221,216683,95709,2989
12/31/16 0:00,17,2224707,628,433,4392,67884,185148,31874,2713,275,1601,2038,428,1134,9213,11261,1694,10472,8773,3778,6443,30633,14230,10053,10977,11899,5144,10515,102496,238678,120123,51962,147180,42687,222736,45038,194561,92908,344483,37801,225018,95351,5200
12/31/17 0:00,19,2246987,662,480,4842,68517,184070,32710,3220,288,1407,2016,431,1510,9034,10666,1647,9936,9030,3971,6200,30278,13637,9998,10855,11837,4683,10716,102961,233966,123904,51029,147101,44278,223153,44777,197738,94591,349571,41392,233529,97391,3035
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,